Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
4606,Avatar: The Last Airbender - The Burning Earth,Ps2,2007.0,Action,Thq,0.21,0.16,0.0,0.05,0.42
4607,Superman: Shadow Of Apokolips,Ps2,2002.0,Action,Atari,0.21,0.16,0.0,0.05,0.42
4608,Nights: Journey Of Dreams,Wii,2007.0,Platform,Sega,0.33,0.03,0.04,0.03,0.42
4609,American Chopper,Ps2,2004.0,Racing,Zoo Digital Publishing,0.35,0.01,0.0,0.06,0.42
4610,Vanquish,X360,2010.0,Shooter,Sega,0.19,0.17,0.03,0.04,0.42
4611,Star Wars Trilogy: Apprentice Of The Force,Gba,2004.0,Action,Ubisoft,0.3,0.11,0.0,0.01,0.42
4612,Marvel Super Hero Squad,Ds,2009.0,Fighting,Thq,0.37,0.02,0.0,0.03,0.42
4613,Lemony Snicket'S A Series Of Unfortunate Events,Gba,2004.0,Platform,Activision,0.3,0.11,0.0,0.01,0.42
4614,Jgtc: All-Japan Grand Touring Car Championship,Ps,1998.0,Racing,Other Publishers,0.23,0.16,0.0,0.03,0.42
4615,Nba Live 06,Psp,2005.0,Sports,Electronic Arts,0.39,0.0,0.0,0.03,0.42
4616,Arc The Lad Iii,Ps,1999.0,Role-Playing,Sony Computer Entertainment,0.0,0.0,0.39,0.03,0.42
4617,Solitaire Overload,Ds,2007.0,Misc,Other Publishers,0.39,0.0,0.0,0.03,0.42
4618,Mobile Suit Gundam: Gundam Vs. Gundam,Psp,2008.0,Fighting,Namco Bandai Games,0.0,0.0,0.42,0.0,0.42
4619,Test Drive,Xb,2002.0,Racing,Atari,0.35,0.05,0.0,0.02,0.42
4620,Jikkyou Powerful Pro Yakyuu 11,Ps2,2004.0,Sports,Konami Digital Entertainment,0.0,0.0,0.42,0.0,0.42
4621,Ghost Trick: Phantom Detective,Ds,2010.0,Adventure,Capcom,0.2,0.08,0.12,0.03,0.42
4622,The Adventures Of Jimmy Neutron Boy Genius: Jet Fusion,Ps2,2003.0,Action,Thq,0.21,0.16,0.0,0.05,0.42
4623,Rush 2: Extreme Racing Usa,N64,1998.0,Racing,Midway Games,0.35,0.06,0.0,0.0,0.42
4624,Nfl Blitz 2001,N64,2000.0,Sports,Midway Games,0.34,0.07,0.0,0.0,0.42
4625,Dr. Mario 64,N64,2001.0,Puzzle,Nintendo,0.34,0.07,0.0,0.0,0.42
4626,Jikkyou Powerful Pro Yakyuu 6,N64,1999.0,Sports,Konami Digital Entertainment,0.0,0.0,0.39,0.03,0.42
4627,Army Men: Sarge'S Heroes 2,N64,2000.0,Shooter,Other Publishers,0.34,0.07,0.0,0.0,0.42
4628,James Bond 007: Everything Or Nothing,Gc,2004.0,Shooter,Electronic Arts,0.32,0.08,0.0,0.01,0.42
4629,Green Day: Rock Band,Ps3,2010.0,Misc,Other Publishers,0.19,0.16,0.0,0.07,0.42
4630,Wolfenstein: The Old Blood,Ps4,2015.0,Action,Bethesda Softworks,0.09,0.25,0.02,0.06,0.42
4631,Mlb 08: The Show,Ps2,2008.0,Sports,Sony Computer Entertainment,0.35,0.01,0.0,0.06,0.42
4632,Disney Infinity 2.0: Marvel Super Heroes,Xone,2014.0,Action,Disney Interactive Studios,0.24,0.15,0.0,0.03,0.42
4633,Dance Dance Revolution Ultramix 2,Xb,2004.0,Simulation,Konami Digital Entertainment,0.32,0.09,0.0,0.02,0.42
4634,Mega Man Anniversary Collection,Gc,2004.0,Platform,Capcom,0.32,0.08,0.0,0.01,0.42
4635,Blazing Angels: Squadrons Of Wwii,X360,2006.0,Simulation,Ubisoft,0.36,0.03,0.0,0.03,0.42
4636,Super Famista 4,Snes,1995.0,Sports,Namco Bandai Games,0.0,0.0,0.42,0.0,0.42
4637,The Fairly Odd Parents: Game Boy Advance Video Volume 2,Gba,2004.0,Misc,Unknown,0.3,0.11,0.0,0.01,0.42
4638,Cabela'S Legendary Adventures,Ps2,2008.0,Sports,Activision,0.21,0.16,0.0,0.05,0.42
4639,Taiko No Tatsujin Ds: Dororon! Youkai Daikessen!!,Ds,2010.0,Misc,Namco Bandai Games,0.0,0.0,0.42,0.0,0.42
4640,Harry Potter And The Goblet Of Fire,Gc,2005.0,Action,Electronic Arts,0.32,0.08,0.0,0.01,0.42
4641,Jumpstart: Escape From Adventure Island,Wii,2009.0,Adventure,Other Publishers,0.39,0.0,0.0,0.03,0.42
4642,Thrillville: Off The Rails,Ps2,2007.0,Strategy,Lucasarts,0.2,0.16,0.0,0.05,0.42
4643,Style Lab: Makeover,Ds,2009.0,Simulation,Ubisoft,0.35,0.03,0.0,0.03,0.42
4644,Condemned: Criminal Origins,X360,2005.0,Action,Sega,0.36,0.03,0.0,0.03,0.42
4645,Mega Man X6,Ps,2001.0,Action,Capcom,0.14,0.1,0.16,0.03,0.42
4646,Monster Jam: Urban Assault,Wii,2008.0,Racing,Activision,0.39,0.0,0.0,0.03,0.42
4647,Bloodrayne,Ps2,2002.0,Shooter,Other Publishers,0.2,0.16,0.0,0.05,0.42
4648,Kumamon Bomber: Puzzle De Kumamon Taisou,Gc,2005.0,Puzzle,Sega,0.32,0.08,0.0,0.01,0.42
4649,Castlevania: Curse Of Darkness,Ps2,2005.0,Action,Konami Digital Entertainment,0.18,0.14,0.05,0.05,0.42
4650,Tom Clancy'S Hawx 2,Ps3,2010.0,Action,Ubisoft,0.21,0.12,0.03,0.05,0.42
4651,Harvest Moon: Grand Bazaar,Ds,2008.0,Simulation,Rising Star Games,0.22,0.05,0.13,0.02,0.42
4652,International Superstar Soccer Pro '98,Ps,1998.0,Sports,Konami Digital Entertainment,0.02,0.02,0.35,0.03,0.42
4653,Jimmy Neutron: Boy Genius,Gba,2001.0,Platform,Thq,0.3,0.11,0.0,0.01,0.42
4654,Black,Xb,2006.0,Shooter,Electronic Arts,0.31,0.09,0.0,0.01,0.42
4655,Zack & Wiki: Quest For Barbaros' Treasure,Wii,2007.0,Adventure,Nintendo,0.18,0.17,0.03,0.04,0.42
4656,Double Pack: Finding Nemo / The Incredibles,Xb,2006.0,Action,Thq,0.31,0.09,0.0,0.01,0.42
4657,Star Wars The Clone Wars: Republic Heroes,Psp,2009.0,Action,Lucasarts,0.21,0.13,0.0,0.08,0.42
4658,Nba 2K11,Psp,2010.0,Action,Take-Two Interactive,0.39,0.0,0.0,0.03,0.42
4659,Animal Crossing: Amiibo Festival,Wiiu,2015.0,Misc,Nintendo,0.19,0.11,0.09,0.03,0.42
4660,Hyrule Warriors,3Ds,2016.0,Action,Nintendo,0.16,0.12,0.11,0.03,0.42
4661,Harry Potter And The Deathly Hallows - Part 1,Ps3,2010.0,Action,Electronic Arts,0.13,0.21,0.0,0.08,0.42
4662,Fishing Resort,Wii,2011.0,Sports,Namco Bandai Games,0.16,0.0,0.25,0.01,0.42
4663,Wwe All Stars,Ps3,2011.0,Fighting,Thq,0.16,0.18,0.0,0.07,0.42
4664,Lord Of The Rings: The Third Age,Xb,2004.0,Role-Playing,Electronic Arts,0.31,0.09,0.0,0.01,0.42
4665,Football Manager Handheld 2011,Psp,2010.0,Sports,Sega,0.0,0.28,0.0,0.14,0.42
4666,Pirates Of The Caribbean: At World'S End,Ps2,2007.0,Action,Disney Interactive Studios,0.2,0.16,0.0,0.05,0.42
4667,Mega Man Legends 2,Ps,2000.0,Adventure,Capcom,0.17,0.12,0.1,0.03,0.42
4668,X-Men Vs. Street Fighter,Ps,1997.0,Fighting,Capcom,0.16,0.11,0.12,0.03,0.42
4669,High Rollers Casino,Ps2,2004.0,Misc,Other Publishers,0.2,0.16,0.0,0.05,0.42
4670,Castlevania: The Dracula X Chronicles,Psp,2007.0,Platform,Konami Digital Entertainment,0.22,0.09,0.04,0.07,0.42
4671,The Suffering,Ps2,2004.0,Action,Midway Games,0.2,0.16,0.0,0.05,0.42
4672,Cyber Troopers Virtual-On,Sat,1995.0,Fighting,Sega,0.0,0.0,0.42,0.0,0.42
4673,Katamari Forever,Ps3,2009.0,Puzzle,Namco Bandai Games,0.26,0.05,0.06,0.04,0.42
4674,Star Wars Starfighter: Special Edition,Xb,2001.0,Simulation,Lucasarts,0.3,0.1,0.0,0.02,0.42
4675,Timeshift,X360,2007.0,Shooter,Vivendi Games,0.36,0.02,0.0,0.03,0.41
4676,Nba Jam,Ps2,2003.0,Sports,Acclaim Entertainment,0.2,0.16,0.0,0.05,0.41
4677,Zone Of The Enders: The 2Nd Runner,Ps2,2003.0,Simulation,Konami Digital Entertainment,0.15,0.12,0.11,0.04,0.41
4678,Ghostbusters: The Video Game,Ds,2009.0,Action,Atari,0.26,0.12,0.0,0.04,0.41
4679,Attack On Titan: Humanity In Chains,3Ds,2013.0,Action,Other Publishers,0.0,0.0,0.41,0.0,0.41
4680,Jampack Spring 2004 (Rp-T),Ps2,2003.0,Misc,Sony Computer Entertainment,0.2,0.16,0.0,0.05,0.41
4681,Dexter'S Laboratory Deesaster Strikes,Gba,2001.0,Adventure,Other Publishers,0.3,0.11,0.0,0.01,0.41
4682,Nfl Gameday 2004,Ps2,2003.0,Sports,Sony Computer Entertainment,0.2,0.16,0.0,0.05,0.41
4683,Scooby-Doo And The Cyber Chase,Gba,2001.0,Adventure,Ubisoft,0.3,0.11,0.0,0.01,0.41
4684,Danganronpa: Trigger Happy Havoc,Psv,2013.0,Misc,Nippon Ichi Software,0.14,0.07,0.15,0.06,0.41
4686,Tomb Raider: The Last Revelation,Pc,1998.0,Action,Eidos Interactive,0.41,0.0,0.0,0.0,0.41
4687,Pro Evolution Soccer 2011,Ps2,2010.0,Sports,Konami Digital Entertainment,0.04,0.21,0.05,0.11,0.41
4688,Sega Rally Championship 2,Others,1999.0,Racing,Sega,0.0,0.0,0.41,0.0,0.41
4689,Quake Ii,Ps,1998.0,Shooter,Activision,0.23,0.16,0.0,0.03,0.41
4690,Crash Of The Titans,Ps2,2007.0,Action,Vivendi Games,0.34,0.01,0.0,0.06,0.41
4691,Bioshock,Pc,2007.0,Shooter,Take-Two Interactive,0.01,0.39,0.0,0.02,0.41
4692,Cars: Mater-National Championship,Ps3,2007.0,Racing,Thq,0.37,0.01,0.0,0.03,0.41
4693,Mlb 10: The Show,Ps2,2010.0,Sports,Sony Computer Entertainment,0.2,0.16,0.0,0.05,0.41
4694,Wheel Of Fortune: 2Nd Edition,Ps,2000.0,Misc,Other Publishers,0.23,0.16,0.0,0.03,0.41
4695,Tom Clancy'S Rainbow Six: Lockdown,Xb,2005.0,Shooter,Ubisoft,0.26,0.13,0.0,0.02,0.41
4696,Mobile Suit Gundam: Gundam Vs. Gundam Next Plus,Psp,2009.0,Fighting,Namco Bandai Games,0.0,0.0,0.41,0.0,0.41
4697,Cool Boarders 2001,Ps,2000.0,Sports,Sony Computer Entertainment,0.23,0.16,0.0,0.03,0.41
4698,Grudge Warriors,Ps,1999.0,Action,Take-Two Interactive,0.23,0.16,0.0,0.03,0.41
4699,World Soccer Jikkyou Winning Eleven 2000: U-23 Medal Heno Chousen,Ps,2000.0,Sports,Konami Digital Entertainment,0.0,0.0,0.39,0.03,0.41
4700,Destiny: The Taken King,Ps3,2015.0,Shooter,Activision,0.16,0.17,0.02,0.06,0.41
4701,Mobile Suit Gundam,Sat,1995.0,Action,Namco Bandai Games,0.0,0.0,0.41,0.0,0.41
4702,Mass Effect Trilogy,X360,2012.0,Action,Electronic Arts,0.28,0.1,0.0,0.03,0.41
4703,"Transformers: Revenge Of The Fallen (Xbox 360, Ps3, & Pc Versions)",Psp,2009.0,Shooter,Activision,0.17,0.15,0.0,0.09,0.41
4704,Wolfenstein: The New Order,X360,2014.0,Shooter,Bethesda Softworks,0.18,0.19,0.0,0.04,0.41
4705,James Patterson Women'S Murder Club: Games Of Passion,Ds,2009.0,Adventure,Thq,0.15,0.22,0.0,0.05,0.41
4706,Farming Simulator 2015,X360,2015.0,Simulation,Other Publishers,0.21,0.16,0.0,0.04,0.41
4707,Jimmy Neutron: Boy Genius,Ps2,2002.0,Platform,Thq,0.2,0.16,0.0,0.05,0.41
4708,Itadaki Street Ds,Ds,2007.0,Misc,Square Enix,0.0,0.0,0.41,0.0,0.41
4709,Castlevania: Order Of Ecclesia,Ds,2008.0,Platform,Konami Digital Entertainment,0.31,0.03,0.04,0.03,0.41
4710,Blazblue: Continuum Shift,Ps3,2010.0,Fighting,Other Publishers,0.21,0.08,0.09,0.04,0.41
4711,X-Men: The Official Game,Ps2,2006.0,Action,Activision,0.2,0.16,0.0,0.05,0.41
4712,300: March To Glory,Psp,2007.0,Action,Warner Bros. Interactive Entertainment,0.27,0.08,0.0,0.06,0.41
4713,E0: Enemy Zero,Sat,1996.0,Adventure,Sega,0.0,0.0,0.41,0.0,0.41
4714,Nicktoons: Unite!,Ps2,2005.0,Adventure,Thq,0.34,0.01,0.0,0.06,0.41
4715,Six Flags Fun Park,Wii,2009.0,Misc,Ubisoft,0.28,0.1,0.0,0.04,0.41
4716,Spore Hero,Wii,2009.0,Simulation,Electronic Arts,0.36,0.03,0.0,0.03,0.41
4717,Mass Effect Trilogy,Ps3,2012.0,Action,Electronic Arts,0.37,0.0,0.0,0.04,0.41
4718,Nascar Racing,Ps,1996.0,Racing,Other Publishers,0.23,0.16,0.0,0.03,0.41
4719,Lego Jurassic World,Psv,2015.0,Action,Warner Bros. Interactive Entertainment,0.09,0.23,0.0,0.09,0.41
4720,Monotaro Dentetsu 2010: Sengoku Ishin No Hero Daishuugou! No Maki,Wii,2009.0,Misc,Hudson Soft,0.0,0.0,0.41,0.0,0.41
4721,Up,Psp,2009.0,Action,Thq,0.24,0.1,0.0,0.07,0.41
4722,Spider-Man: Web Of Shadows,X360,2008.0,Action,Activision,0.36,0.02,0.0,0.03,0.41
4723,Boku No Natsuyasumi 2: Umi No Bouken Hen,Ps2,2002.0,Adventure,Sony Computer Entertainment,0.0,0.0,0.41,0.0,0.41
4724,Spongebob Squigglepants,Wii,2011.0,Misc,Thq,0.36,0.03,0.0,0.03,0.41
4725,Cars: Race-O-Rama,Psp,2009.0,Racing,Thq,0.29,0.07,0.0,0.06,0.41
4726,Fantastic Pets,X360,2011.0,Simulation,Thq,0.3,0.08,0.0,0.03,0.41
4727,Command & Conquer: Red Alert,Ps,1997.0,Strategy,Virgin Interactive,0.23,0.16,0.0,0.03,0.41
4728,Star Wars The Clone Wars: Republic Heroes,Ds,2009.0,Action,Lucasarts,0.23,0.14,0.0,0.04,0.41
4729,Dig Dug,Others,1985.0,Puzzle,Namco Bandai Games,0.0,0.0,0.41,0.0,0.41
4730,Ogre Battle 64: Person Of Lordly Caliber,N64,1999.0,Role-Playing,Nintendo,0.1,0.02,0.25,0.04,0.41
4731,Superman: The New Superman Adventures,N64,1999.0,Action,Other Publishers,0.33,0.07,0.0,0.0,0.41
4732,Uefa Euro 2008 Austria-Switzerland,Ps3,2008.0,Sports,Electronic Arts,0.08,0.27,0.0,0.06,0.41
4733,The Terminator: Dawn Of Fate,Ps2,2002.0,Action,Atari,0.2,0.16,0.0,0.05,0.41
4734,The Lego Movie Videogame,Psv,2014.0,Action,Warner Bros. Interactive Entertainment,0.05,0.26,0.0,0.09,0.41
4735,Rogue Galaxy: Director'S Cut,Ps2,2007.0,Role-Playing,Sony Computer Entertainment,0.2,0.16,0.0,0.05,0.41
4736,Armored Core,Ps,1997.0,Simulation,Sony Computer Entertainment,0.13,0.09,0.16,0.03,0.41
4737,Monster Trucks Mayhem,Wii,2009.0,Racing,Other Publishers,0.39,0.0,0.0,0.02,0.41
4738,Winter Sports 2: The Next Challenge,Wii,2008.0,Sports,Other Publishers,0.18,0.19,0.0,0.04,0.41
4739,Green Day: Rock Band,X360,2010.0,Misc,Other Publishers,0.24,0.13,0.0,0.04,0.41
4740,Densha De Go! 2,Ps,1999.0,Simulation,Other Publishers,0.0,0.0,0.38,0.03,0.41
4741,Transformers: Fall Of Cybertron,Ps3,2012.0,Action,Activision,0.19,0.15,0.0,0.07,0.41
4742,Call Of Duty: Advanced Warfare,Pc,2014.0,Shooter,Activision,0.14,0.23,0.0,0.04,0.41
4743,Disney Princess: Enchanting Storybooks,Wii,2011.0,Misc,Thq,0.26,0.11,0.0,0.04,0.41
4744,Monopoly Streets,Ps3,2010.0,Misc,Electronic Arts,0.16,0.18,0.0,0.07,0.41
4745,Band Hero,Ps2,2009.0,Misc,Activision,0.15,0.06,0.0,0.2,0.41
4746,The Wonderful 101,Wiiu,2013.0,Action,Nintendo,0.2,0.1,0.08,0.03,0.41
4747,No More Heroes 2: Desperate Struggle,Wii,2010.0,Action,Rising Star Games,0.21,0.12,0.04,0.03,0.41
4748,Battlefield 2: Modern Combat,X360,2006.0,Shooter,Electronic Arts,0.35,0.02,0.01,0.03,0.41
4749,Armored Core 2: Another Age,Ps2,2001.0,Simulation,Other Publishers,0.11,0.08,0.19,0.03,0.41
4750,Buzz! Junior: Jungle Party,Ps2,2006.0,Misc,Sony Computer Entertainment,0.2,0.16,0.0,0.05,0.41
4751,Mortal Kombat: Deadly Alliance,Gc,2002.0,Fighting,Midway Games,0.31,0.08,0.0,0.01,0.41
4752,Marvel: Ultimate Alliance,Wii,2006.0,Role-Playing,Activision,0.37,0.01,0.0,0.03,0.41
4753,Nba 2K11,Ps2,2010.0,Action,Take-Two Interactive,0.34,0.01,0.0,0.06,0.41
4754,Akb1/48: Idol To Koishitara...,Psp,2010.0,Misc,Namco Bandai Games,0.0,0.0,0.41,0.0,0.41
4755,Pro Pinball,Ps,1996.0,Misc,Empire Interactive,0.23,0.15,0.0,0.03,0.41
4756,'98 Koshien,Ps,1998.0,Sports,Other Publishers,0.15,0.1,0.12,0.03,0.41
4757,Nba 2K9,Ps2,2008.0,Sports,Take-Two Interactive,0.34,0.01,0.0,0.06,0.41
4758,Yu-Gi-Oh! The Eternal Duelist Soul (Jp Sales),Gba,2001.0,Misc,Konami Digital Entertainment,0.0,0.0,0.4,0.01,0.41
4759,Speed Racer: The Videogame,Wii,2008.0,Racing,Warner Bros. Interactive Entertainment,0.36,0.02,0.0,0.03,0.41
4760,Naughty Bear,X360,2010.0,Action,505 Games,0.21,0.16,0.0,0.04,0.41
4761,Littlest Pet Shop,Wii,2008.0,Simulation,Electronic Arts,0.34,0.04,0.0,0.03,0.41
4762,Tna Impact!,Ps3,2008.0,Fighting,Midway Games,0.22,0.12,0.0,0.06,0.41
4763,Just Dance Kids 2,X360,2011.0,Misc,Ubisoft,0.29,0.09,0.0,0.03,0.41
4764,Duke Nukem Forever,Pc,2011.0,Shooter,Take-Two Interactive,0.18,0.17,0.0,0.06,0.41
4765,Hatsune Miku: Project Diva 2Nd,Psp,2010.0,Misc,Sega,0.0,0.0,0.41,0.0,0.41
4766,Marvel: Ultimate Alliance 2,Ps2,2009.0,Role-Playing,Activision,0.23,0.02,0.0,0.16,0.41
4767,Mario No Super Picross,Snes,1995.0,Puzzle,Nintendo,0.0,0.0,0.41,0.0,0.41
4768,"Ed, Edd N Eddy: The Mis-Edventures",Ps2,2005.0,Platform,Midway Games,0.34,0.01,0.0,0.06,0.41
4769,Jikkyou Powerful Pro Yakuu '94,Snes,1994.0,Sports,Konami Digital Entertainment,0.0,0.0,0.41,0.0,0.41
4770,Disney'S Tarzan Untamed,Ps2,2001.0,Platform,Ubisoft,0.2,0.16,0.0,0.05,0.41
4771,Borderlands: The Handsome Collection,Xone,2015.0,Shooter,Take-Two Interactive,0.24,0.13,0.0,0.04,0.41
4772,The Gunstringer,X360,2011.0,Shooter,Microsoft Game Studios,0.26,0.11,0.0,0.04,0.41
4773,Knockout Kings 2001,Ps,2000.0,Fighting,Electronic Arts,0.23,0.15,0.0,0.03,0.41
4774,From Russia With Love,Ps2,2005.0,Action,Electronic Arts,0.34,0.01,0.0,0.06,0.41
4775,Fifa Soccer 13,Pc,2012.0,Action,Electronic Arts,0.02,0.31,0.0,0.07,0.41
4776,Asura'S Wrath,Ps3,2012.0,Action,Capcom,0.18,0.12,0.06,0.05,0.41
4777,Avatar: The Game,Ds,2009.0,Action,Ubisoft,0.19,0.18,0.0,0.04,0.41
4778,My Virtual Tutor: Reading Adventure First To Second Grade,Ds,2009.0,Misc,Other Publishers,0.38,0.0,0.0,0.03,0.41
4779,Minority Report: Everybody Runs,Ps2,2002.0,Action,Activision,0.2,0.15,0.0,0.05,0.41
4780,Disney'S Hercules / Disney'S The Jungle Book: Groove Party / A Bug'S Life,Ps,2003.0,Misc,Sony Computer Entertainment,0.23,0.15,0.0,0.03,0.4
4781,Nfl Gameday 2002,Ps,2001.0,Sports,Sony Computer Entertainment,0.23,0.15,0.0,0.03,0.4
4782,Pengo,2600,1983.0,Adventure,Atari,0.38,0.02,0.0,0.0,0.4
4783,Disney Sing It! High School Musical 3: Senior Year,Ps3,2008.0,Misc,Disney Interactive Studios,0.08,0.26,0.0,0.07,0.4
4784,Story Of Seasons,3Ds,2014.0,Simulation,Nintendo,0.0,0.13,0.26,0.01,0.4
4785,Beowulf: The Game,X360,2007.0,Action,Ubisoft,0.36,0.01,0.0,0.03,0.4
4786,Mouse Trap,2600,1981.0,Action,Other Publishers,0.38,0.02,0.0,0.0,0.4
4787,Super Monkey Ball: Step & Roll,Wii,2010.0,Action,Sega,0.17,0.2,0.0,0.04,0.4
4788,Hatsune Miku: Project Diva F 2Nd,Psv,2014.0,Misc,Sega,0.13,0.06,0.16,0.06,0.4
4789,Overlord,X360,2007.0,Strategy,Codemasters,0.34,0.03,0.01,0.03,0.4
4790,Tak And The Power Of Juju,Gc,2003.0,Platform,Thq,0.31,0.08,0.0,0.01,0.4
4791,"Transformers: The Game (Xbox 360, Ps2, Ps3, Wii & Pc Versions)",Ps3,2007.0,Action,Activision,0.32,0.04,0.01,0.04,0.4
4792,Sega Superstars Tennis,Ps3,2008.0,Sports,Sega,0.13,0.2,0.0,0.08,0.4
4794,Dragon Quest X,Wiiu,2013.0,Role-Playing,Square Enix,0.0,0.0,0.4,0.0,0.4
4795,Wall-E,Ps3,2008.0,Platform,Thq,0.12,0.21,0.0,0.08,0.4
4796,Medarot: Kabuto / Kuwagata Version,Others,1997.0,Role-Playing,Other Publishers,0.0,0.0,0.4,0.0,0.4
4797,Nba 2K10,Ps2,2009.0,Sports,Take-Two Interactive,0.33,0.01,0.0,0.05,0.4
4798,Defender,Ps2,2002.0,Misc,Midway Games,0.2,0.15,0.0,0.05,0.4
4800,Wipeout 3 The Game,Wii,2012.0,Action,Activision,0.38,0.0,0.0,0.03,0.4
4801,Taiko No Tatsujin Wii: Dodon To 2 Yome!,Wii,2009.0,Misc,Namco Bandai Games,0.0,0.0,0.4,0.0,0.4
4802,Thief (2014),Ps3,2014.0,Action,Square Enix,0.1,0.2,0.02,0.08,0.4
4803,Congo Bongo,2600,1982.0,Action,Sega,0.37,0.02,0.0,0.0,0.4
4804,Gauntlet: Seven Sorrows,Ps2,2005.0,Role-Playing,Midway Games,0.2,0.15,0.0,0.05,0.4
4805,Harry Potter: Quidditch World Cup,Gc,2003.0,Sports,Electronic Arts,0.31,0.08,0.0,0.01,0.4
4806,Advance Wars: Dual Strike,Ds,2005.0,Strategy,Nintendo,0.3,0.03,0.04,0.03,0.4
4807,Yu-Gi-Oh! 5D'S Stardust Accelerator: World Championship 2009,Ds,2009.0,Action,Konami Digital Entertainment,0.27,0.01,0.09,0.03,0.4
4808,Warriors Orochi 2 (Jp Sales),Ps2,2008.0,Action,Tecmo Koei,0.0,0.0,0.4,0.0,0.4
4809,Wwe Smackdown! Vs. Raw 2006,Psp,2005.0,Fighting,Thq,0.36,0.01,0.0,0.03,0.4
4810,The Chronicles Of Narnia: Prince Caspian,Ps2,2008.0,Action,Disney Interactive Studios,0.2,0.15,0.0,0.05,0.4
4811,The Incredibles: Rise Of The Underminer,Gba,2005.0,Action,Thq,0.29,0.11,0.0,0.01,0.4
4812,Pet In Tv,Ps,1997.0,Strategy,Sony Computer Entertainment,0.0,0.0,0.38,0.03,0.4
4813,Battalion Wars,Gc,2005.0,Strategy,Nintendo,0.25,0.07,0.07,0.01,0.4
4814,Nba Shootout 2000,Ps,1999.0,Sports,Other Publishers,0.22,0.15,0.0,0.03,0.4
4815,Power Rangers: Dino Thunder,Gc,2004.0,Action,Thq,0.31,0.08,0.0,0.01,0.4
4816,Rocksmith 2014,Xone,2014.0,Misc,Ubisoft,0.29,0.08,0.0,0.04,0.4
4817,Samurai Shodown,Snes,1994.0,Fighting,Other Publishers,0.0,0.0,0.4,0.0,0.4
4818,Nhl 15,Xone,2014.0,Sports,Electronic Arts,0.31,0.06,0.0,0.03,0.4
4819,Tmnt,Wii,2007.0,Action,Ubisoft,0.34,0.03,0.0,0.03,0.4
4820,Final Fantasy Crystal Chronicles: The Crystal Bearers,Wii,2009.0,Action,Square Enix,0.22,0.08,0.08,0.03,0.4
4821,Cabela'S Big Game Hunter 2010,Ps3,2009.0,Sports,Other Publishers,0.37,0.0,0.0,0.03,0.4
4822,Ea Sports Ufc 2,Xone,2016.0,Sports,Electronic Arts,0.23,0.14,0.0,0.04,0.4
4823,Fighting Vipers,Sat,1995.0,Fighting,Sega,0.0,0.0,0.4,0.0,0.4
4824,Ncaa Gamebreaker 2000,Ps,1999.0,Sports,Other Publishers,0.22,0.15,0.0,0.03,0.4
4825,Iron Man 2,Ps3,2010.0,Action,Sega,0.14,0.19,0.0,0.07,0.4
4826,The Legend Of Spyro: Dawn Of The Dragon,Ps2,2008.0,Platform,Vivendi Games,0.12,0.01,0.0,0.27,0.4
4827,Akb1/48: Idol To Guam De Koishitara...,Psp,2011.0,Misc,Namco Bandai Games,0.0,0.0,0.4,0.0,0.4
4828,Rr64: Ridge Racer 64,N64,1999.0,Racing,Nintendo,0.32,0.07,0.0,0.0,0.4
4829,Top Gear Rally,N64,1997.0,Racing,Other Publishers,0.32,0.07,0.0,0.0,0.4
4830,Nfl Quarterback Club 2000,N64,1999.0,Sports,Acclaim Entertainment,0.37,0.03,0.0,0.0,0.4
4831,Mortal Kombat Mythologies: Sub-Zero,N64,1997.0,Fighting,Midway Games,0.32,0.07,0.0,0.0,0.4
4832,18 Wheeler: American Pro Trucker,Ps2,2001.0,Racing,Acclaim Entertainment,0.2,0.15,0.0,0.05,0.4
4833,Atari Anthology,Ps2,2004.0,Misc,Atari,0.33,0.01,0.0,0.05,0.4
4834,Bugs Bunny: Lost In Time,Ps,1999.0,Platform,Infogrames,0.22,0.15,0.0,0.03,0.4
4835,Nba Jam,X360,2010.0,Sports,Electronic Arts,0.27,0.1,0.0,0.03,0.4
4836,Sherlock Holmes: The Mystery Of The Mummy,Ds,2009.0,Adventure,Focus Home Interactive,0.06,0.3,0.0,0.04,0.4
4837,Hot Wheels: Beat That!,Ps2,2007.0,Racing,Activision,0.2,0.15,0.0,0.05,0.4
4838,Mlb 2006,Ps2,2005.0,Sports,Sony Computer Entertainment,0.33,0.01,0.0,0.05,0.4
4839,Star Wars The Clone Wars: Republic Heroes,X360,2009.0,Action,Lucasarts,0.18,0.17,0.0,0.04,0.4
4840,Brunswick Pro Bowling,Ps2,2007.0,Sports,505 Games,0.2,0.15,0.0,0.05,0.4
4841,Mafia Ii,Pc,2010.0,Action,Take-Two Interactive,0.17,0.17,0.0,0.06,0.4
4842,Rocket Power: Dream Scheme,Gba,2001.0,Action,Thq,0.29,0.11,0.0,0.01,0.4
4843,Spongebob'S Truth Or Square (Us Sales),Wii,2009.0,Action,Thq,0.38,0.01,0.0,0.0,0.4
4844,Mx Vs. Atv Unleashed,Xb,2005.0,Racing,Thq,0.32,0.07,0.0,0.01,0.4
4845,Rampage: Total Destruction,Gc,2006.0,Action,Midway Games,0.31,0.08,0.0,0.01,0.4
4846,Planet 51,Ds,2009.0,Action,Sega,0.22,0.14,0.0,0.04,0.4
